iter	MultiClass
0	1.938990479
1	1.704719444
2	1.557172701
3	1.278456731
4	1.126721788
5	1.027248307
6	0.95617603
7	0.9062382778
8	0.8603077232
9	0.8321225314
10	0.8014119238
11	0.7771562901
12	0.757087364
13	0.7458706205
14	0.7328529777
15	0.7177800961
16	0.7088231312
17	0.6988896843
18	0.6889964958
19	0.6819586532
20	0.6761834305
21	0.6676879654
22	0.6621959342
23	0.6591756656
24	0.6544896335
25	0.6497084251
26	0.6461272354
27	0.6432203899
28	0.6397033247
29	0.6368650069
30	0.6310812467
31	0.6285377174
32	0.6275103097
33	0.6249236096
34	0.6222069642
35	0.6182300591
36	0.615650464
37	0.6127488775
38	0.6104247263
39	0.6072468655

40	0.6095625426
41	0.6075837363
42	0.604244869
43	0.6010278867
44	0.59777773
45	0.5956500981
46	0.5921269211
47	0.5903417529
48	0.58759888
49	0.52	1.67713950	053	1.658748389
54	1.641106257
55	1.624083346
56	1.607355687
57	1.590962935
58	1.574968256	56	0.5710707857657	0.5696690556158	0.5679077611
59	0.5661310236
.504842461
64	1.493051751
65	1.480846367
66	1.467858347
67	1.456498248
68	1.445164045
69	1.433747588
70	1.422570427
71	1.411223483
72	1.401040738
73	1.390226207

70	0.6139198645
71	0.6123178159
72	0.6106920377
8027
78	1.78	1.3141479	1.79	1.305437136
80	1.296962211
81	1.28946593
82	1.281477223
83	1.274125169
84	1.266475623
85	1.258814072
86	1.250917244
87	1.243288	1.288	1.236610084
5022
90	1.242248726
91	1.23502248
92	1.228329934
93	1.221192496
94	1.214238361
95	1.20716811
96	1.200265435
97	1.193786495
98	1.187654146
99	1.181402423
