Genre,Parent Genre
corrido,latin
reggaeton,latin
k-pop-girl-group,pop
musica-chihuahuense,latin
pop,pop
gen-z-singer-songwriter,pop
colombian-pop,pop
afrobeats,R&B
rap,Hip Hop
canadian-contemporary-r&b,R&B
florida-drill,Hip Hop
Hip Hop,Hip Hop
contemporary-country,country
garage-rock,rock
chicago-drill,Hip Hop
latin-hip-hop,Hip Hop
bedroom-pop,pop
art-pop,pop
big-room,Electronic
corridos-tumbados,latin
piano-rock,rock
dance-pop,pop
europop,pop
chill-pop,pop
modern-indie-pop,pop
k-pop,pop
permanent-wave,rock
argentine-hip-hop,Hip Hop
puerto-rican-pop,pop
sad-sierreno,latin
trap-boricua,latin
detroit-hip-hop,Hip Hop
gauze-pop,pop
modern-alternative-rock,rock
conscious-hip-hop,Hip Hop
indonesian-pop,pop
alt-z,pop
banda,latin
modern-rock,rock
australian-hip-hop,Hip Hop
latin-pop,pop
toronto-indie,rock
uk-contemporary-r&b,R&B
anime,pop
british-soul,R&B
dfw-rap,Hip Hop
r&b,R&B
brostep,Electronic
boy-band,pop
glam-rock,rock
j-pop,pop
new-jersey-underground-rap,Hip Hop
canadian-hip-hop,Hip Hop
trap-argentino,latin
folk-pop,pop
afrofuturism,R&B
filmi,World/Traditional
new-romantic,rock
neo-mellow,Folk/Acoustic
canadian-pop,pop
pop-rap,Hip Hop
trap-brasileiro,latin
ambient-pop,pop
agronejo,country
baroque-pop,pop
viral-pop,pop
pov:-indie,pop
barbadian-pop,pop
finnish-pop,pop
alternative-rock,rock
phonk-brasileiro,Hip Hop
singer-songwriter-pop,pop
album-rock,rock
indie-folk,Folk/Acoustic
sertanejo,latin
arrocha,country
g-funk,Hip Hop
soft-rock,rock
german-hip-hop,Hip Hop
indie-poptimism,pop
italian-adult-pop,pop
alternative-metal,metal
lgbtq+-hip-hop,Hip Hop
r&b-brasileiro,R&B
sped-up,pop
chicago-indie,rock
rap-canario,latin
memphis-hip-hop,Hip Hop
k-rap,Hip Hop
hip-pop,pop
irish-singer-songwriter,Folk/Acoustic
bronx-drill,Hip Hop
israeli-pop,pop
trap-latino,latin
classic-oklahoma-country,country
korean-r&b,R&B
comedy-rock,rock
melodic-metalcore,metal
atl-hip-hop,Hip Hop
deep-underground-hip-hop,Hip Hop
spanish-pop,pop
chamber-pop,pop
emo-rap,Hip Hop
previa,
latin-viral-pop,pop
edmonton-indie,Folk/Acoustic
bedroom-r&b,R&B
drift-phonk,Electronic
latin-talent-show,latin
mambo-chileno,latin
alternative-hip-hop,Hip Hop
italian-hip-hop,Hip Hop
grunge,rock
southern-hip-hop,Hip Hop
melodic-drill,Hip Hop
funk-consciente,latin
desi-pop,pop
chicago-rap,Hip Hop
r&b-en-espanol,R&B
balochi-pop,pop
japanese-teen-pop,pop
korean-indie-rock,rock
electro-latino,latin
latin-arena-pop,pop
escape-room,pop
electropop,pop
pluggnb,Hip Hop
weirdcore,pop
funk-pop,pop
trap-queen,R&B
funk-viral,R&B
funk-mtg,R&B
east-coast-hip-hop,Hip Hop
neo-soul,R&B
candy-pop,pop
australian-pop,pop
german-pop,pop
indie-rock-italiano,rock
meme,pop
trap-baiano,Hip Hop
funk-rj,pop
reggaeton-mexicano,latin
belgian-edm,Electronic
edm,Electronic
meme-rap,Hip Hop
melodic-rap,Hip Hop
funk-mandelao,R&B
musica-mexicana,latin
experimental-pop,pop
pop-soul,R&B
turkish-alt-pop,pop
deep-groove-house,Electronic
dancehall,World/Traditional
hyperpop,pop
irish-pop,pop
palestinian-hip-hop,Hip Hop
classic-rock,rock
house,Electronic
electro-house,Electronic
indie-hip-hop,Hip Hop
pop-dance,Electronic
eurodance,pop
canadian-latin,latin
disco,R&B
adult-standards,easy listening
rock-and-roll,rock
musical-advocacy,pop
classic-uk-pop,pop
blues,blues
heartland-rock,rock
motown,R&B
brill-building-pop,pop
hollywood,easy listening
orchestral-soundtrack,classical
jazz-trio,jazz
classic-country-pop,pop
celtic-punk,World/Traditional
a-cappella,jazz
novelty,rock
classic-soul,R&B
australian-dance,Electronic
torch-song,jazz
bolero,latin
new-wave-pop,pop
chicago-soul,R&B
electro,Hip Hop
latin-alternative,latin
french-hip-hop,Hip Hop
hard-rock,rock
funk-carioca,Hip Hop
urbano-chileno,latin
movie-tunes,easy listening
halloween,easy listening
theme,easy listening
australian-rock,rock
underground-power-pop,pop
dance-rock,rock
glam-metal,metal
german-drill,latin
pittsburgh-rap,Hip Hop
uk-dance,Electronic
pop-reggaeton,latin
pop-venezolano,latin
turkce-slow-sarkilar,pop
sinhala-indie,pop
dreamo,rock
pop-argentino,latin
trap-chileno,latin
bachata,latin
brooklyn-drill,Hip Hop
pakistani-pop,pop
houston-rap,Hip Hop
arrochadeira,country
polish-hip-hop,Hip Hop
turkish-hip-hop,Hip Hop
